run         lumi          event
163588       201      137358898
163332       322      215894505
163480       100       59300635
163668        60       37758520
161217       580      492163823
163300       492      258826186
163300       497      261495663
163376       233      114616545
163765       289      175723579
163817       254      236415858
163289         4        1538240
163289        80       33655099
163659       409      306373913
163659       415      310633317
165570       205      273199198
165570       210      280072176
165570       222      296381236
165570       234      312509778
165467       184      213831123
165467       197      232992216
165467       198      233641483
166565       251      234391496
166565       450      412474722
166565       475      432784012
166565       489      445019126
166565       514      467598161
166565       520      472857170
166565       522      474347440
167551       245      313312085
167551       451      592153964
167551       452      593042373
166922       514      664751072
166922       520      671952491
166922       528      682413952
166922       535      690069454
166922       546      703649971
166922       570      733125849
165506        99       77021366
165506       133      120274848
165506       167      163704849
166781       246      291273950
166781       247      292070322
166781       338      402213353
166781       344      409585199
166781       344      409614104
166781       346      411857111
166781       360      427629490
167676       123      112043543
167676       125      114034103
167676       126      115244303
167676       143      130444157
167676       144      131584500
167676       162      147942027
167676       178      163193776
167676       180      165051746
167676       186      169713613
167676       409      364736445
167676       422      375998866
167676       445      396149088
165993      1418     1500833456
165993      1427     1508653396
165993      1465     1543024495
165993      1465     1543202148
165467       271      335877260
165467       304      381158318
167898       622      750910517
167898       674      816588497
167898       676      819177727
165514       520      713972511
165514       529      725944657
165514       538      739459850
165514       538      739778394
165514       538      739143026
166895       232      213360890
166895       237      217230890
166895       295      270484342
166895       320      292949591
165633       388      506132523
165633       392      512278695
165633       404      528864297
165633       411      538295757
165633       422      552096783
166033       143      187776239
166033       161      214556046
167281       388      482294065
167281       392      486965402
167281       423      523261865
167284       846      721167472
167284       858      730155436
167284       893      758425199
167284       897      761574500
166408       381      482610098
166408       454      577890256
166408       458      583890077
166408       459      585063654
166408       466      594354853
167102       240      251404667
167102       273      284268159
167102       279      291117822
167102       286      297715527
167102       295      306673260
166380       252      296169012
166380       313      366239881
166380       315      368422534
166380       317      370066738
166380       326      381292989
166380       340      396904821
166380       345      402337123
166380       346      402958778
167807       152      174737117
167807       196      234563564
167807       219      268060211
166408       257      314646391
166374        91       92149192
166374        96      100028362
166374        96      100097755
167675       217      238415420
167675       224      246214255
167675       235      257562870
167675       257      281286306
167675       263      288235699
167675       284      310576581
167041       113      128967773
167041       145      165494121
167041       174      198627563
167041       182      208076460
167041       191      217158754
167041       198      225509437
166380      1269     1355963348
166380      1269     1356406399
166380      1288     1374668375
166380      1290     1376470125
166380      1310     1396045951
166380      1322     1406789199
166380      1332     1416775723
166438       556      635861672
166438       557      637803342
166438       572      653369636
166438       686      776773183
166438       686      776721380
166438       699      789996382
166554       634      754580513
166554       709      840393711
166890       330      363784603
